2024-10-27 11:10:17.652 - INFO    - MainThread - testcommon.py:101 [runtest] - prload True / ronce True exbar -2
2024-10-27 11:10:20.685 - INFO    - MainThread - testcommon.py:181 [next] - 2006-11-03 - 217, 3979.73, 4010.44, 3971.83, 3990.46
2024-10-27 11:10:20.686 - INFO    - MainThread - testcommon.py:177 [next] - 2006-11-06 - 218 - 3968.552333
2024-10-27 11:10:20.686 - INFO    - MainThread - testcommon.py:181 [next] - 2006-11-06 - 218, 3991.47, 4045.22, 3991.47, 4045.22
2024-10-27 11:10:20.686 - INFO    - MainThread - testcommon.py:177 [next] - 2006-11-07 - 219 - 3975.217000
2024-10-27 11:10:20.686 - INFO    - MainThread - testcommon.py:181 [next] - 2006-11-07 - 219, 4047.63, 4075.99, 4045.52, 4072.86
2024-10-27 11:10:20.686 - INFO    - MainThread - testcommon.py:177 [next] - 2006-11-08 - 220 - 3981.138000
2024-10-27 11:10:20.686 - INFO    - MainThread - testcommon.py:181 [next] - 2006-11-08 - 220, 4064.92, 4078.99, 4047.19, 4073.81
2024-10-27 11:10:20.686 - INFO    - MainThread - testcommon.py:177 [next] - 2006-11-09 - 221 - 3987.072000
2024-10-27 11:10:20.686 - INFO    - MainThread - testcommon.py:181 [next] - 2006-11-09 - 221, 4071.17, 4081.7, 4059.21, 4073.0
2024-10-27 11:10:20.687 - INFO    - MainThread - testcommon.py:177 [next] - 2006-11-10 - 222 - 3992.553000
2024-10-27 11:10:20.687 - INFO    - MainThread - testcommon.py:181 [next] - 2006-11-10 - 222, 4067.1, 4072.42, 4048.97, 4063.84
2024-10-27 11:10:20.687 - INFO    - MainThread - testcommon.py:177 [next] - 2006-11-13 - 223 - 3999.008333
2024-10-27 11:10:20.687 - INFO    - MainThread - testcommon.py:181 [next] - 2006-11-13 - 223, 4063.01, 4095.55, 4059.51, 4086.14
2024-10-27 11:10:20.687 - INFO    - MainThread - testcommon.py:177 [next] - 2006-11-14 - 224 - 4005.814667
2024-10-27 11:10:20.688 - INFO    - MainThread - testcommon.py:181 [next] - 2006-11-14 - 224, 4087.11, 4097.05, 4068.51, 4084.33
2024-10-27 11:10:20.688 - INFO    - MainThread - testcommon.py:177 [next] - 2006-11-15 - 225 - 4012.284667
2024-10-27 11:10:20.688 - INFO    - MainThread - testcommon.py:181 [next] - 2006-11-15 - 225, 4089.39, 4110.53, 4089.39, 4108.83
2024-10-27 11:10:20.688 - INFO    - MainThread - testcommon.py:177 [next] - 2006-11-16 - 226 - 4017.946333
2024-10-27 11:10:20.688 - INFO    - MainThread - testcommon.py:181 [next] - 2006-11-16 - 226, 4107.71, 4116.79, 4096.67, 4109.71
2024-10-27 11:10:20.688 - INFO    - MainThread - testcommon.py:177 [next] - 2006-11-17 - 227 - 4022.548000
2024-10-27 11:10:20.688 - INFO    - MainThread - testcommon.py:181 [next] - 2006-11-17 - 227, 4106.78, 4107.24, 4066.05, 4078.36
2024-10-27 11:10:20.689 - INFO    - MainThread - testcommon.py:177 [next] - 2006-11-20 - 228 - 4027.790000
2024-10-27 11:10:20.689 - INFO    - MainThread - testcommon.py:181 [next] - 2006-11-20 - 228, 4074.59, 4101.04, 4049.44, 4096.74
2024-10-27 11:10:20.689 - INFO    - MainThread - testcommon.py:177 [next] - 2006-11-21 - 229 - 4032.303000
2024-10-27 11:10:20.689 - INFO    - MainThread - testcommon.py:181 [next] - 2006-11-21 - 229, 4095.27, 4112.27, 4090.91, 4096.06
2024-10-27 11:10:20.689 - INFO    - MainThread - testcommon.py:177 [next] - 2006-11-22 - 230 - 4036.555667
2024-10-27 11:10:20.689 - INFO    - MainThread - testcommon.py:181 [next] - 2006-11-22 - 230, 4105.91, 4118.4, 4084.71, 4094.97
2024-10-27 11:10:20.690 - INFO    - MainThread - testcommon.py:177 [next] - 2006-11-23 - 231 - 4039.416667
2024-10-27 11:10:20.690 - INFO    - MainThread - testcommon.py:181 [next] - 2006-11-23 - 231, 4099.96, 4105.18, 4070.31, 4085.76
2024-10-27 11:10:20.690 - INFO    - MainThread - testcommon.py:177 [next] - 2006-11-24 - 232 - 4041.053000
2024-10-27 11:10:20.690 - INFO    - MainThread - testcommon.py:181 [next] - 2006-11-24 - 232, 4076.14, 4078.44, 4028.3, 4048.16
2024-10-27 11:10:20.690 - INFO    - MainThread - testcommon.py:177 [next] - 2006-11-27 - 233 - 4040.262333
2024-10-27 11:10:20.690 - INFO    - MainThread - testcommon.py:181 [next] - 2006-11-27 - 233, 4045.05, 4053.68, 3978.25, 3978.25
2024-10-27 11:10:20.691 - INFO    - MainThread - testcommon.py:177 [next] - 2006-11-28 - 234 - 4041.113667
2024-10-27 11:10:20.691 - INFO    - MainThread - testcommon.py:181 [next] - 2006-11-28 - 234, 3976.16, 3990.75, 3951.94, 3975.11
2024-10-27 11:10:20.691 - INFO    - MainThread - testcommon.py:177 [next] - 2006-11-29 - 235 - 4042.170667
2024-10-27 11:10:20.691 - INFO    - MainThread - testcommon.py:181 [next] - 2006-11-29 - 235, 3983.51, 4023.89, 3983.51, 4023.09
2024-10-27 11:10:20.691 - INFO    - MainThread - testcommon.py:177 [next] - 2006-11-30 - 236 - 4042.184333
2024-10-27 11:10:20.691 - INFO    - MainThread - testcommon.py:181 [next] - 2006-11-30 - 236, 4027.46, 4036.72, 3983.05, 3987.23
2024-10-27 11:10:20.692 - INFO    - MainThread - testcommon.py:177 [next] - 2006-12-01 - 237 - 4039.981000
2024-10-27 11:10:20.692 - INFO    - MainThread - testcommon.py:181 [next] - 2006-12-01 - 237, 3993.03, 4011.96, 3914.46, 3932.09
2024-10-27 11:10:20.692 - INFO    - MainThread - testcommon.py:177 [next] - 2006-12-04 - 238 - 4038.111333
2024-10-27 11:10:20.692 - INFO    - MainThread - testcommon.py:181 [next] - 2006-12-04 - 238, 3935.81, 3965.16, 3927.4, 3962.93
2024-10-27 11:10:20.692 - INFO    - MainThread - testcommon.py:177 [next] - 2006-12-05 - 239 - 4037.909000
2024-10-27 11:10:20.692 - INFO    - MainThread - testcommon.py:181 [next] - 2006-12-05 - 239, 3966.61, 4014.55, 3961.06, 4007.94
2024-10-27 11:10:20.693 - INFO    - MainThread - testcommon.py:177 [next] - 2006-12-06 - 240 - 4037.348000
2024-10-27 11:10:20.693 - INFO    - MainThread - testcommon.py:181 [next] - 2006-12-06 - 240, 4007.75, 4015.8, 3987.15, 4002.31
2024-10-27 11:10:20.693 - INFO    - MainThread - testcommon.py:177 [next] - 2006-12-07 - 241 - 4037.061333
2024-10-27 11:10:20.693 - INFO    - MainThread - testcommon.py:181 [next] - 2006-12-07 - 241, 3997.09, 4039.25, 3991.84, 4018.69
2024-10-27 11:10:20.693 - INFO    - MainThread - testcommon.py:177 [next] - 2006-12-08 - 242 - 4037.148667
2024-10-27 11:10:20.693 - INFO    - MainThread - testcommon.py:181 [next] - 2006-12-08 - 242, 4011.63, 4028.14, 3980.66, 4019.89
2024-10-27 11:10:20.694 - INFO    - MainThread - testcommon.py:177 [next] - 2006-12-11 - 243 - 4038.747667
2024-10-27 11:10:20.694 - INFO    - MainThread - testcommon.py:181 [next] - 2006-12-11 - 243, 4024.14, 4055.74, 4024.14, 4052.89
2024-10-27 11:10:20.694 - INFO    - MainThread - testcommon.py:177 [next] - 2006-12-12 - 244 - 4040.579000
2024-10-27 11:10:20.694 - INFO    - MainThread - testcommon.py:181 [next] - 2006-12-12 - 244, 4052.55, 4062.2, 4044.02, 4059.74
2024-10-27 11:10:20.694 - INFO    - MainThread - testcommon.py:177 [next] - 2006-12-13 - 245 - 4043.245333
2024-10-27 11:10:20.694 - INFO    - MainThread - testcommon.py:181 [next] - 2006-12-13 - 245, 4063.14, 4096.28, 4054.64, 4094.33
2024-10-27 11:10:20.694 - INFO    - MainThread - testcommon.py:177 [next] - 2006-12-14 - 246 - 4048.052667
2024-10-27 11:10:20.694 - INFO    - MainThread - testcommon.py:181 [next] - 2006-12-14 - 246, 4100.49, 4122.89, 4099.98, 4118.84
2024-10-27 11:10:20.695 - INFO    - MainThread - testcommon.py:177 [next] - 2006-12-15 - 247 - 4053.059333
2024-10-27 11:10:20.695 - INFO    - MainThread - testcommon.py:181 [next] - 2006-12-15 - 247, 4119.08, 4147.38, 4119.08, 4140.66
2024-10-27 11:10:20.695 - INFO    - MainThread - testcommon.py:177 [next] - 2006-12-18 - 248 - 4055.887333
2024-10-27 11:10:20.695 - INFO    - MainThread - testcommon.py:181 [next] - 2006-12-18 - 248, 4140.99, 4141.46, 4129.65, 4130.06
2024-10-27 11:10:20.695 - INFO    - MainThread - testcommon.py:177 [next] - 2006-12-19 - 249 - 4056.808000
